epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,6133.04,2.28205,1.17357,1.74974,0.52856,0.56235,0.49424,0.20935,2.22829,1.16293,1.6254,0.0038728,0.0038728,0.0038728
94,6192.41,2.27095,1.20804,1.75042,0.55303,0.48941,0.45978,0.195,2.17739,1.13729,1.59764,0.0038062,0.0038062,0.0038062
95,6256.55,2.31152,1.20523,1.76524,0.59778,0.53176,0.52912,0.21725,2.13067,1.26297,1.59113,0.0037396,0.0037396,0.0037396
96,6322.58,2.25776,1.19749,1.71254,0.61275,0.50633,0.55019,0.23822,2.07865,1.10618,1.55698,0.003673,0.003673,0.003673
97,6388.62,2.30067,1.20757,1.77756,0.5883,0.54588,0.54625,0.23096,2.18942,1.07242,1.5977,0.0036064,0.0036064,0.0036064
98,6453.02,2.32037,1.14747,1.77305,0.64029,0.48706,0.55748,0.24397,2.15743,1.1683,1.58029,0.0035398,0.0035398,0.0035398
99,6523.07,2.29491,1.19584,1.76573,0.58266,0.51904,0.51794,0.22406,2.19291,1.19393,1.60871,0.0034732,0.0034732,0.0034732
100,6591.71,2.21145,1.16618,1.71841,0.60778,0.54118,0.54794,0.23634,2.12575,1.16326,1.5865,0.0034066,0.0034066,0.0034066
101,6661.1,2.25471,1.16955,1.73577,0.63129,0.55294,0.57237,0.24552,2.20324,0.97856,1.61191,0.00334,0.00334,0.00334
102,6728.47,2.2858,1.16835,1.74494,0.58796,0.5372,0.57246,0.24906,2.16563,0.99481,1.57262,0.0032734,0.0032734,0.0032734
103,6793.21,2.22776,1.18677,1.71545,0.61799,0.55575,0.56971,0.23878,2.16605,1.07086,1.56935,0.0032068,0.0032068,0.0032068
104,6857.48,2.26297,1.16883,1.74345,0.60305,0.54333,0.56359,0.23629,2.13603,1.26339,1.5665,0.0031402,0.0031402,0.0031402
105,6922.33,2.2508,1.12672,1.74039,0.62021,0.58588,0.58557,0.24383,2.14501,1.10754,1.588,0.0030736,0.0030736,0.0030736
106,6987.16,2.21028,1.0995,1.7242,0.66456,0.59294,0.60283,0.24638,2.16177,1.14693,1.58031,0.003007,0.003007,0.003007
107,7044.55,2.25323,1.14405,1.74427,0.62188,0.57272,0.5835,0.24994,2.13034,1.04853,1.55338,0.0029404,0.0029404,0.0029404
108,7098.32,2.20008,1.12504,1.69876,0.63222,0.55059,0.58249,0.24766,2.15931,1.094,1.56834,0.0028738,0.0028738,0.0028738
109,7151.41,2.21359,1.12423,1.72709,0.61117,0.58588,0.5855,0.25221,2.11641,1.07458,1.56795,0.0028072,0.0028072,0.0028072
110,7206.34,2.18713,1.10654,1.70871,0.60594,0.61146,0.60658,0.26446,2.14091,1.04429,1.5837,0.0027406,0.0027406,0.0027406
111,7261.03,2.17163,1.11218,1.6879,0.63436,0.57559,0.59963,0.26442,2.05258,1.06249,1.53581,0.002674,0.002674,0.002674
112,7315.34,2.26118,1.14072,1.74429,0.64319,0.58108,0.58734,0.26608,2.06001,1.0438,1.51098,0.0026074,0.0026074,0.0026074
113,7368.86,2.11404,1.06333,1.65623,0.56748,0.61412,0.61392,0.26955,2.09586,1.04412,1.53168,0.0025408,0.0025408,0.0025408
114,7422.53,2.19002,1.14459,1.68586,0.64059,0.55294,0.58876,0.26248,2.09674,1.0045,1.53929,0.0024742,0.0024742,0.0024742
115,7477.18,2.19162,1.12108,1.68889,0.63729,0.56,0.59248,0.27603,2.06049,1.04167,1.50793,0.0024076,0.0024076,0.0024076
